"","V1","V2","V3","prob","cumul.prob","V6"
"1534",70,22,8,3.33569267449293e-16,4.98869103333516e-14,63.44
"1535",22,70,8,3.33569267449293e-16,5.02204796008009e-14,63.44
"1536",70,8,22,3.33569267449293e-16,5.05540488682502e-14,63.44
"1537",8,70,22,3.33569267449293e-16,5.08876181356995e-14,63.44
"1538",22,8,70,3.33569267449293e-16,5.12211874031488e-14,63.44
"1539",8,22,70,3.33569267449293e-16,5.15547566705981e-14,63.44
"1540",66,33,1,3.83105428860513e-20,5.1554794981141e-14,63.38
"1541",33,66,1,3.83105428860513e-20,5.15548332916839e-14,63.38
"1542",66,1,33,3.83105428860513e-20,5.15548716022268e-14,63.38
"1543",1,66,33,3.83105428860513e-20,5.15549099127696e-14,63.38
"1544",33,1,66,3.83105428860513e-20,5.15549482233125e-14,63.38
"1545",1,33,66,3.83105428860513e-20,5.15549865338554e-14,63.38
"1546",68,28,4,9.97856782967878e-18,5.15649651016851e-14,62.72
"1547",28,68,4,9.97856782967878e-18,5.15749436695148e-14,62.72
"1548",68,4,28,9.97856782967878e-18,5.15849222373445e-14,62.72
"1549",4,68,28,9.97856782967878e-18,5.15949008051741e-14,62.72
"1550",28,4,68,9.97856782967878e-18,5.16048793730038e-14,62.72
"1551",4,28,68,9.97856782967878e-18,5.16148579408335e-14,62.72
"1552",69,25,6,9.47530093044287e-17,5.17096109501379e-14,62.66
"1553",25,69,6,9.47530093044287e-17,5.18043639594423e-14,62.66
"1554",70,21,9,8.15391542653807e-16,5.26197555020962e-14,62.66
"1555",21,70,9,8.15391542653807e-16,5.343514704475e-14,62.66
"1556",70,9,21,8.15391542653807e-16,5.42505385874038e-14,62.66
"1557",9,70,21,8.15391542653807e-16,5.50659301300576e-14,62.66
"1558",69,6,25,9.47530093044287e-17,5.5160683139362e-14,62.66
"1559",6,69,25,9.47530093044287e-17,5.52554361486664e-14,62.66
"1560",25,6,69,9.47530093044287e-17,5.53501891579709e-14,62.66
"1561",6,25,69,9.47530093044287e-17,5.54449421672753e-14,62.66
"1562",21,9,70,8.15391542653807e-16,5.62603337099291e-14,62.66
"1563",9,21,70,8.15391542653807e-16,5.70757252525829e-14,62.66
"1564",70,20,10,1.71232223957297e-15,5.87880474921559e-14,62
"1565",20,70,10,1.71232223957297e-15,6.05003697317288e-14,62
"1566",70,10,20,1.71232223957297e-15,6.22126919713018e-14,62
"1567",10,70,20,1.71232223957297e-15,6.39250142108748e-14,62
"1568",20,10,70,1.71232223957297e-15,6.56373364504478e-14,62
"1569",10,20,70,1.71232223957297e-15,6.73496586900207e-14,62
"1570",67,30,3,3.11973614904893e-18,6.73527784261698e-14,61.94
"1571",30,67,3,3.11973614904893e-18,6.73558981623188e-14,61.94
"1572",67,3,30,3.11973614904893e-18,6.73590178984679e-14,61.94
"1573",3,67,30,3.11973614904893e-18,6.73621376346169e-14,61.94
"1574",30,3,67,3.11973614904893e-18,6.7365257370766e-14,61.94
"1575",3,30,67,3.11973614904893e-18,6.7368377106915e-14,61.94
"1576",64,36,0,3.83641991085787e-21,6.73683809433349e-14,61.76
"1577",36,64,0,3.83641991085787e-21,6.73683847797548e-14,61.76
"1578",64,0,36,3.83641991085787e-21,6.73683886161748e-14,61.76
"1579",0,64,36,3.83641991085787e-21,6.73683924525947e-14,61.76
"1580",36,0,64,3.83641991085787e-21,6.73683962890146e-14,61.76
"1581",0,36,64,3.83641991085787e-21,6.73684001254345e-14,61.76
"1582",69,24,7,3.38403604658673e-16,6.77068037300932e-14,61.58
"1583",24,69,7,3.38403604658673e-16,6.80452073347518e-14,61.58
"1584",69,7,24,3.38403604658673e-16,6.83836109394105e-14,61.58
"1585",7,69,24,3.38403604658673e-16,6.87220145440692e-14,61.58
"1586",24,7,69,3.38403604658673e-16,6.90604181487279e-14,61.58
"1587",7,24,69,3.38403604658673e-16,6.93988217533865e-14,61.58
"1588",66,32,2,6.32123957619858e-19,6.93994538773442e-14,61.52
"1589",32,66,2,6.32123957619858e-19,6.94000860013018e-14,61.52
"1590",66,2,32,6.32123957619858e-19,6.94007181252594e-14,61.52
"1591",2,66,32,6.32123957619858e-19,6.9401350249217e-14,61.52
"1592",32,2,66,6.32123957619858e-19,6.94019823731746e-14,61.52
"1593",2,32,66,6.32123957619858e-19,6.94026144971322e-14,61.52
"1594",65,34,1,7.43675244258656e-20,6.94026888646567e-14,61.46
"1595",34,65,1,7.43675244258656e-20,6.94027632321811e-14,61.46
"1596",70,19,11,3.11331316286003e-15,7.25160763950411e-14,61.46
"1597",19,70,11,3.11331316286003e-15,7.56293895579012e-14,61.46
"1598",70,11,19,3.11331316286003e-15,7.87427027207612e-14,61.46
